insert into test (id, firstname, lastname, address, products) values
(39597, "Nola", "Restivo", "299 Locust Street Suite 4", 60361),
(24552, "Carlena", "Maring", "Suite 4 Ellenwood GA 30294", 7903),
(23884, "Giselle", "Alvares", "Ellenwood GA 30294 92 Saxon Ave.", 38536),
(11778, "Cristopher", "Deming", "92 Saxon Ave. Vincentown NJ 08088", 55083),
(19117, "Paul", "Swint", "Vincentown NJ 08088 75 West Cooper Court", 272),
(10845, "Nydia", "Schenk", "75 West Cooper Court Birmingham AL 35209", 26711),
(31444, "Tanya", "Noggle", "Birmingham AL 35209 34 Grandrose Dr.", 49970),
(55392, "Zita", "Bowersox", "34 Grandrose Dr. Tupelo MS 38801", 51517),
(57780, "Treasa", "Hayse", "Tupelo MS 38801 8922 Academy Street", 14997),
(25655, "Alvera", "Raby", "8922 Academy Street Jacksonville NC 28540", 52981),
(37892, "Ana", "Harbaugh", "Jacksonville NC 28540 91 10th Court", 19233),
(26969, "Meri", "Brockett", "91 10th Court Stow OH 44224", 53113),
(48686, "Cassi", "Klahn", "Stow OH 44224 7468 Old York St.", 45745),
(31358, "Malcom", "Youngberg", "7468 Old York St. Covington GA 30014", 18177),
(13903, "Luvenia", "Ruddock", "Covington GA 30014 7952 East Blue Spring Ave.", 28590),
(9346, "Enid", "Ronco", "7952 East Blue Spring Ave. Stuart FL 34997", 20165),
(48242, "Masako", "Bayliss", "Stuart FL 34997 9395 Clinton St.", 23196),
(44356, "Tiffaney", "Hayton", "9395 Clinton St. Apopka FL 32703", 28062),
(45376, "Zachariah", "Sutterfield", "Apopka FL 32703 90 W. River Court", 30231),
(10207, "Liana", "Rahm", "90 W. River Court Wantagh NY 11793", 2601),
(47232, "Markus", "Bianco", "Wantagh NY 11793 6 Elizabeth Drive", 3806),
(35005, "Bret", "Harkleroad", "6 Elizabeth Drive Enterprise AL 36330", 18846),
(31235, "Doreatha", "Ballance", "Enterprise AL 36330 8243 Rocky River Street", 6947),
(30843, "Rickie", "Colyer", "8243 Rocky River Street Reno NV 89523", 51929),
(19598, "Gretta", "Selph", "Reno NV 89523 8 Thomas Street", 22603),
(22154, "Jenna", "Volk", "8 Thomas Street Macon GA 31204", 16403),
(58740, "Otha", "Farquharson", "Macon GA 31204 8837 Princess Ave.", 15786),
(25207, "Christel", "Bucko", "8837 Princess Ave. Stow OH 44224", 20364),
(33392, "Keely", "Crandall", "Stow OH 44224 8 South Pleasant St.", 36973),
(24751, "Marcelo", "Tann", "8 South Pleasant St. Silver Spring MD 20901", 43673),
(7178, "Francoise", "Dunstan", "Silver Spring MD 20901 66 Addison Ave.", 59136),
(41180, "Alethia", "Lampton", "66 Addison Ave. Saratoga Springs NY 12866", 56061),
(56460, "Lashawna", "Burkett", "Saratoga Springs NY 12866 799 2nd Dr.", 56215),
(44003, "Brunilda", "Hoeft", "799 2nd Dr. Saint Augustine FL 32084", 8247),
(5613, "Isaac", "Simes", "Saint Augustine FL 32084 391 John Street", 27330),
(6141, "Arden", "Merriam", "391 John Street Matthews NC 28104", 27549),
(4789, "Joie", "Woods", "Matthews NC 28104 12 Mayfair Road", 23054),
(5749, "Nathaniel", "Deloach", "12 Mayfair Road Williamsburg VA 23185", 34086),
